model,mae,rmse,r2,ndcg@5,precision@5,ndcg@10,precision@10,is_baseline
decision_tree,8.225390470779852,13.422148675511838,0.8342943626023398,0.9770285362803859,0.4959039548022599,0.9772366239620456,0.495046408393866,False
gradient_boosting,7.236926788838851,11.390409948408976,0.8806638828236756,0.9761026109934706,0.4959039548022599,0.9761159665196371,0.495046408393866,False
random_forest,6.8859569227966375,11.87340127515048,0.8703288135859742,0.9757405643314877,0.4959039548022599,0.9760105858930762,0.495046408393866,False
adaboost,10.43380211105384,13.902625607746987,0.8222183844551697,0.9671874278678715,0.4959039548022599,0.9672737952202737,0.495046408393866,False
linear_regression,11.665323955326459,15.095644924786438,0.7903974619267384,0.9666941709726733,0.4959039548022599,0.9667088124700133,0.495046408393866,False
ridge_regression,11.685558084579808,15.107292594781683,0.7900738821022004,0.9665269882579587,0.4959039548022599,0.9665416297552988,0.495046408393866,False
knn_regressor,11.608810991926516,16.397895704134374,0.7526741940277075,0.9604445218975555,0.4959039548022599,0.9606508573340448,0.495046408393866,False
static_matching_v2_baseline,26.770978193146416,30.976914101107848,0.11738867382727303,0.9509483442706061,0.4950564971751412,0.9516914375223239,0.495046408393866,True
